dataset,focus_class,other_class,num_focus_patches,num_both_patches,P(other | focus),note,n,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
DALES,wires,buildings,556,515,0.9262589928057554,counts_of_other_given_focus_present_and_other_present,515.0,4.0,12.419999999999998,521.0000000000003,10093.4,50185.0,82768.0,106446.0,125125.40000000001,135362.1999999998,171919.50000000012,237764.0
DALES,wires,fence,556,498,0.89568345323741,counts_of_other_given_focus_present_and_other_present,498.0,1.0,2.0,102.4,303.1,940.25,2173.5,4192.5,5813.900000000001,6571.899999999999,7654.45,10526.0
DALES,wires,vehicle,556,487,0.8758992805755396,counts_of_other_given_focus_present_and_other_present,487.0,1.0,4.0,112.30000000000001,398.6,1697.0,4363.0,7159.5,10165.400000000001,11814.199999999997,33917.179999999986,44967.0
DALES,poles,ground,760,760,1.0,,,,,,,,,,,,,
DALES,poles,vegetation,760,759,0.9986842105263158,,,,,,,,,,,,,
DALES,poles,buildings,760,730,0.9605263157894737,,,,,,,,,,,,,
DALES,poles,fence,760,716,0.9421052631578948,,,,,,,,,,,,,
DALES,poles,vehicle,760,708,0.9315789473684211,,,,,,,,,,,,,
DALES,poles,ground,760,760,1.0,counts_of_other_given_focus_present_and_other_present,760.0,14.0,99.64999999999999,180628.45,197338.5,219692.25,245464.0,274796.75,306876.3,328599.3499999999,364208.44999999995,400108.0
DALES,poles,vegetation,760,759,0.9986842105263158,counts_of_other_given_focus_present_and_other_present,759.0,5.0,65.8,14001.7,34128.6,68659.0,121583.0,181807.5,252825.6,311323.50000000006,451389.1799999999,733259.0
DALES,poles,buildings,760,730,0.9605263157894737,counts_of_other_given_focus_present_and_other_present,730.0,1.0,111.33000000000001,8694.7,25421.400000000005,60547.75,89461.0,114431.0,140137.2,155152.4,184190.74000000034,286620.0
DALES,poles,fence,760,716,0.9421052631578948,counts_of_other_given_focus_present_and_other_present,716.0,1.0,57.75,159.75,327.0,950.25,2148.5,3925.75,5639.0,6506.75,7647.550000000001,10526.0
DALES,poles,vehicle,760,708,0.9315789473684211,counts_of_other_given_focus_present_and_other_present,708.0,1.0,17.07,184.90000000000003,504.0,1789.0,4530.0,7181.5,10094.7,11729.699999999995,29975.06999999991,44967.0
